waiting time(us),probability
0.1,0.786
0.48,0.607
0.86,0.456
1.24,0.361
1.62,0.288
2,0.216
2.38,0.176
2.76,0.137
3.14,0.123
3.52,0.091
3.9,0.093
4.28,0.079
4.66,0.061
5.04,0.064
5.42,0.051
5.8,0.05
6.18,0.05
6.56,0.058
6.94,0.058
7.32,0.05
7.7,0.053
8.08,0.036
8.46,0.042
8.84,0.048
9.22,0.041
9.6,0.048
9.98,0.05
10.36,0.036
10.74,0.044
11.12,0.043
11.5,0.048
11.88,0.039
12.26,0.038
12.64,0.035
13.02,0.036
13.4,0.054
13.78,0.046
14.16,0.035
14.54,0.041
14.92,0.055
15.3,0.046
15.68,0.037
16.06,0.039
16.44,0.052
16.82,0.051
17.2,0.066
17.58,0.06
17.96,0.05
18.34,0.048
18.72,0.049
19.1,0.048
